Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1579388400.0 134.912 NA 30 494 0 NA NA NA NA NA 83 593 0 NA NA NA NA NA 240 3782 655 NA NA NA NA NA 236 2287 737 NA NA NA NA
1579388400.0 1340.0 NA 100 552 0 NA NA NA NA NA 373 672 0 NA NA NA NA NA 475 1489 560 NA NA NA NA NA 506 1956 620 NA NA NA NA
1579388400.0 1341.0 NA 107 575 0 NA NA NA NA NA 381 678 0 NA NA NA NA NA 536 1893 575 NA NA NA NA NA 499 1993 641 NA NA NA NA
1579388400.0 1343.0 NA 101 563 0 NA NA NA NA NA 381 686 0 NA NA NA NA NA 508 1585 571 NA NA NA NA NA 543 1738 630 NA NA NA NA
1579388400.0 1344.0 NA 102 562 0 NA NA NA NA NA 373 678 0 NA NA NA NA NA 507 1565 567 NA NA NA NA NA 478 1771 616 NA NA NA NA
1579388400.0 1345.0 NA 111 566 0 NA NA NA NA NA 381 681 0 NA NA NA NA NA 512 1570 590 NA NA NA NA NA 433 2058 688 NA NA NA NA
1579388400.0 1347.0 NA 101 559 0 NA NA NA NA NA 381 666 0 NA NA NA NA NA 492 1569 572 NA NA NA NA NA 522 2126 673 NA NA NA NA
1579388400.0 1348.0 NA 100 557 0 NA NA NA NA NA 380 667 0 NA NA NA NA NA 478 1559 566 NA NA NA NA NA 485 1965 630 NA NA NA NA
1579388400.0 1349.0 NA 100 558 0 NA NA NA NA NA 380 678 0 NA NA NA NA NA 488 1579 560 NA NA NA NA NA 574 1988 600 NA NA NA NA
1579388400.0 135.1 336 0 140 NA NA NA NA NA 515 0 211 NA NA NA NA NA 1094 223 576 NA NA NA NA NA 1027 344 752 NA NA NA NA NA
1579388400.0 135.11 347 0 143 NA NA NA NA NA 511 0 216 NA NA NA NA NA 1326 230 645 NA NA NA NA NA 1173 273 701 NA NA NA NA NA
1579388400.0 135.12 330 0 136 NA NA NA NA NA 519 0 209 NA NA NA NA NA 1004 221 559 NA NA NA NA NA 974 264 633 NA NA NA NA NA
1579388400.0 135.13 334 0 NA NA NA NA NA NA 553 0 NA NA NA NA NA NA 1039 243 NA NA NA NA NA NA 1029 305 NA NA NA NA NA NA
1579388400.0 135.2 279 0 136 NA NA NA NA NA 518 0 209 NA NA NA NA NA 893 217 546 NA NA NA NA NA 1043 333 737 NA NA NA NA NA
1579388400.0 135.3 285 0 134 NA NA NA NA NA 510 0 207 NA NA NA NA NA 892 219 545 NA NA NA NA NA 993 340 670 NA NA NA NA NA
1579388400.0 135.4 327 0 135 NA NA NA NA NA 511 0 210 NA NA NA NA NA 985 230 552 NA NA NA NA NA 1066 326 659 NA NA NA NA NA
1579388400.0 135.5 323 0 138 NA NA NA NA NA 518 0 209 NA NA NA NA NA 974 220 547 NA NA NA NA NA 1127 334 638 NA NA NA NA NA
1579388400.0 135.6 327 0 139 NA NA NA NA NA 511 0 210 NA NA NA NA NA 1038 223 564 NA NA NA NA NA 1008 514 806 NA NA NA NA NA
1579388400.0 135.7 327 0 137 NA NA NA NA NA 519 0 210 NA NA NA NA NA 979 215 570 NA NA NA NA NA 1016 552 713 NA NA NA NA NA
1579388400.0 135.8 143 NA NA NA NA NA NA NA 233 NA NA NA NA NA NA NA 377 NA NA NA NA NA NA NA 396 NA NA NA NA NA NA NA
1579388400.0 135.9 286 0 133 NA NA NA NA NA 511 0 205 NA NA NA NA NA 841 220 538 NA NA NA NA NA 993 400 700 NA NA NA NA NA
1579388400.0 1350.0 NA 101 560 0 NA NA NA NA NA 380 684 0 NA NA NA NA NA 472 1528 566 NA NA NA NA NA 421 1939 631 NA NA NA NA
1579388400.0 1351.0 NA 103 556 0 NA NA NA NA NA 381 662 0 NA NA NA NA NA 504 1549 558 NA NA NA NA NA 516 1827 600 NA NA NA NA
1579388400.0 1352.0 NA 103 560 0 NA NA NA NA NA 380 688 0 NA NA NA NA NA 504 1551 576 NA NA NA NA NA 605 2089 661 NA NA NA NA
1579388400.0 1353.0 NA 105 563 0 NA NA NA NA NA 373 693 0 NA NA NA NA NA 517 1599 572 NA NA NA NA NA 484 1681 635 NA NA NA NA
1579388400.0 1354.0 NA 103 563 0 NA NA NA NA NA 381 689 0 NA NA NA NA NA 483 1549 565 NA NA NA NA NA 513 1655 615 NA NA NA NA
1579388400.0 1355.0 NA 105 566 0 NA NA NA NA NA 381 677 0 NA NA NA NA NA 538 1635 564 NA NA NA NA NA 494 1930 617 NA NA NA NA
1579388400.0 1356.0 82 100 564 0 144 NA NA NA 159 369 697 0 215 NA NA NA 2660 492 1578 561 560 NA NA NA 978 470 1676 635 694 NA NA NA
1579388400.0 136.733 NA 192 68 0 NA NA NA NA NA 286 118 0 NA NA NA NA NA 850 355 210 NA NA NA NA NA 868 350 269 NA NA NA NA
1579388400.0 136.735 NA 76 442 0 NA NA NA NA NA 137 537 0 NA NA NA NA NA 760 2056 603 NA NA NA NA NA 532 1895 719 NA NA NA NA
1579388400.0 136.736 NA 72 543 0 NA NA NA NA NA 136 662 0 NA NA NA NA NA 596 10318 711 NA NA NA NA NA 454 4005 1208 NA NA NA NA
1579388400.0 136.737 NA 81 554 0 NA NA NA NA NA 130 720 0 NA NA NA NA NA 577 11767 704 NA NA NA NA NA 578 4398 798 NA NA NA NA
1579388400.0 136.739 NA 71 558 0 NA NA NA NA NA 125 719 0 NA NA NA NA NA 695 13045 727 NA NA NA NA NA 493 4776 822 NA NA NA NA
1579388400.0 136.74 NA 82 566 0 NA NA NA NA NA 136 762 0 NA NA NA NA NA 682 11697 714 NA NA NA NA NA 578 4346 819 NA NA NA NA
