Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1579388400.0 135.1 304 0 117 NA NA NA NA NA NA 895 0 217 NA NA NA NA NA NA 1234 240 558 NA NA NA NA NA NA 1423 438 611 NA NA NA NA NA NA
1579388400.0 135.11 311 0 122 NA NA NA NA NA NA 859 0 228 NA NA NA NA NA NA 1424 250 633 NA NA NA NA NA NA 1313 526 633 NA NA NA NA NA NA
1579388400.0 135.12 303 0 116 NA NA NA NA NA NA 845 0 207 NA NA NA NA NA NA 1190 238 543 NA NA NA NA NA NA 1415 305 619 NA NA NA NA NA NA
1579388400.0 135.13 320 0 NA NA NA NA NA NA NA 865 0 NA NA NA NA NA NA NA 1236 254 NA NA NA NA NA NA NA 1347 309 NA NA NA NA NA NA NA
1579388400.0 135.2 263 0 113 NA NA NA NA NA NA 800 0 207 NA NA NA NA NA NA 1086 223 512 NA NA NA NA NA NA 1234 278 609 NA NA NA NA NA NA
1579388400.0 135.3 259 0 118 NA NA NA NA NA NA 790 0 209 NA NA NA NA NA NA 1107 225 517 NA NA NA NA NA NA 1415 306 614 NA NA NA NA NA NA
1579388400.0 135.4 298 0 113 NA NA NA NA NA NA 842 0 197 NA NA NA NA NA NA 1152 239 519 NA NA NA NA NA NA 1300 371 578 NA NA NA NA NA NA
1579388400.0 135.5 297 0 122 NA NA NA NA NA NA 840 0 211 NA NA NA NA NA NA 1143 236 522 NA NA NA NA NA NA 1358 291 613 NA NA NA NA NA NA
1579388400.0 135.6 305 0 119 NA NA NA NA NA NA 892 0 219 NA NA NA NA NA NA 1217 242 556 NA NA NA NA NA NA 1451 375 613 NA NA NA NA NA NA
1579388400.0 135.7 300 0 123 NA NA NA NA NA NA 795 0 215 NA NA NA NA NA NA 1181 234 530 NA NA NA NA NA NA 1442 289 635 NA NA NA NA NA NA
1579388400.0 135.8 138 NA NA NA NA NA NA NA NA 237 NA NA NA NA NA NA NA NA 435 NA NA NA NA NA NA NA NA 430 NA NA NA NA NA NA NA NA
1579388400.0 135.9 276 0 111 NA NA NA NA NA NA 843 0 199 NA NA NA NA NA NA 1091 233 498 NA NA NA NA NA NA 1329 292 604 NA NA NA NA NA NA
